date,close,dayRange,openCloseRange,emaDiffPercentage,lowFastEmaPercentage,highFastEmaPercentage,emaAppreciation,netPriceAppreciation
2017/1/;6,6786.44,0.41,0.34,0.82,0.99,1.40,0.27,
2017/1/;7,6767.78,0.67,-0.26,0.83,0.62,1.30,0.18,
2017/1/;8,6789.12,0.57,0.36,0.85,0.47,1.04,0.20,1.31100
2017/5/22,6133.62,0.63,0.58,0.54,0.05,0.68,0.13,
2017/5/23,6138.71,0.48,-0.18,0.55,0.33,0.81,0.12,
2017/5/24,6163.02,0.44,0.14,0.58,0.45,0.89,0.17,
2017/5/25,6205.26,0.69,0.36,0.65,0.77,1.47,0.25,
2017/5/26,6210.19,0.24,0.05,0.70,0.90,1.14,0.23,
2017/5/30,6203.19,0.27,-0.02,0.72,0.79,1.07,0.17,
2017/5/31,6198.52,0.94,-0.37,0.72,0.08,1.02,0.13,
2017/6/1,6246.83,0.75,0.50,0.77,0.43,1.18,0.24,
2017/6/2,6305.80,0.88,0.71,0.87,0.93,1.82,0.36,
2017/6/5,6295.68,0.29,-0.16,0.92,1.28,1.58,0.27,
2017/6/6,6275.06,0.55,-0.11,0.92,0.75,1.31,0.17,
2017/6/7,6297.38,0.57,0.11,0.93,0.51,1.08,0.20,
2017/6/8,6321.76,0.65,0.16,0.96,0.53,1.19,0.23,3.06700
2017/4/20,5916.78,0.78,0.49,0.08,0.21,0.99,0.17,
2017/4/21,5910.52,0.34,-0.14,0.13,0.41,0.75,0.12,
2017/4/24,5983.82,0.33,0.06,0.27,1.31,1.64,0.31,
2017/4/25,6025.49,0.56,0.36,0.42,1.48,2.04,0.37,
2017/4/26,6025.23,0.32,-0.05,0.53,1.49,1.81,0.31,
2017/4/27,6048.94,0.32,0.17,0.64,1.32,1.64,0.32,
2017/4/28,6047.61,0.55,-0.42,0.71,1.21,1.77,0.27,
2017/5/1,6091.60,0.65,0.40,0.81,1.21,1.86,0.34,
2017/5/2,6095.37,0.35,-0.12,0.88,1.24,1.60,0.30,
2017/5/3,6072.55,0.39,-0.04,0.89,0.59,0.98,0.18,
2017/5/4,6075.34,0.44,0.00,0.88,0.45,0.89,0.16,
2017/5/5,6100.76,0.55,0.15,0.90,0.46,1.01,0.20,
2017/5/8,6102.66,0.38,0.03,0.90,0.54,0.93,0.17,
2017/5/9,6120.59,0.42,0.14,0.92,0.75,1.17,0.19,
2017/5/10,6129.14,0.45,0.12,0.92,0.51,0.96,0.18,
2017/5/11,6115.96,0.73,0.10,0.90,-0.07,0.66,0.12,
2017/5/12,6121.23,0.29,0.03,0.87,0.30,0.59,0.11,
2017/5/15,6149.67,0.46,0.35,0.88,0.45,0.91,0.17,
2017/5/16,6169.87,0.51,0.15,0.89,0.48,0.99,0.20,4.27700
2017/7/12,6261.17,0.46,0.36,0.00,0.87,1.33,0.25,
2017/7/13,6274.44,0.48,0.09,0.11,0.85,1.34,0.25,
2017/7/14,6312.47,0.69,0.37,0.25,0.99,1.68,0.31,
2017/7/17,6314.43,0.37,-0.09,0.35,1.18,1.56,0.26,
2017/7/18,6344.31,0.85,0.63,0.46,0.62,1.48,0.30,
2017/7/19,6385.04,0.40,0.34,0.59,1.40,1.81,0.35,
2017/7/20,6390.00,0.51,-0.10,0.68,1.15,1.66,0.31,
2017/7/21,6387.75,0.37,0.07,0.74,0.89,1.26,0.25,
2017/7/24,6410.81,0.58,0.36,0.80,0.86,1.45,0.27,
2017/7/25,6412.17,0.45,0.07,0.84,0.89,1.34,0.23,
2017/7/26,6422.75,0.25,-0.05,0.87,0.98,1.23,0.22,2.58100
2016/11/15,5275.62,0.97,0.65,-0.02,0.51,1.48,0.25,
2016/11/16,5294.58,0.91,0.78,0.11,0.54,1.45,0.27,
2016/11/17,5333.97,0.87,0.73,0.27,0.88,1.75,0.35,
2016/11/18,5321.51,0.59,-0.36,0.36,1.14,1.74,0.25,
2016/11/21,5368.86,0.67,0.60,0.50,1.13,1.81,0.36,
2016/11/22,5386.35,0.50,0.03,0.63,1.37,1.88,0.35,
2016/11/23,5380.68,0.56,0.26,0.70,0.81,1.38,0.28,
2016/11/25,5398.92,0.37,0.19,0.78,1.06,1.43,0.29,
2016/11/28,5368.81,0.58,-0.35,0.78,0.65,1.23,0.14,
2016/11/29,5379.92,0.81,0.17,0.78,0.41,1.22,0.15,1.97700
2017/6/22,6236.69,0.57,-0.04,0.26,0.11,0.69,0.07,
2017/6/23,6265.25,0.81,0.50,0.30,-0.07,0.74,0.13,
2017/6/26,6247.15,1.12,-0.72,0.31,0.10,1.22,0.06,0.167700
2017/3/29,5897.55,0.51,0.38,0.24,0.22,0.73,0.14,
2017/3/30,5914.34,0.39,0.31,0.30,0.45,0.84,0.16,
2017/3/31,5911.74,0.44,0.10,0.33,0.46,0.90,0.13,0.240600
