date,close,dayRange,openCloseRange,emaDiffPercentage,lowFastEmaPercentage,highFastEmaPercentage,emaAppreciation,netPriceAppreciation
2023/6/30,13787.92,0.73,0.50,1.30,1.14,1.89,0.34,
2023/7/3,13816.77,0.48,0.13,1.33,1.25,1.73,0.31,
2023/7/5,13791.65,0.58,0.14,1.32,0.95,1.54,0.23,
2023/7/6,13679.04,0.90,0.19,1.23,-0.55,0.35,0.05,
2023/7/7,13660.72,1.08,-0.05,1.13,0.08,1.17,0.02,
2023/7/10,13685.48,0.79,0.29,1.06,-0.49,0.30,0.05,
2023/7/11,13760.70,0.96,0.37,1.03,-0.20,0.77,0.13,
2023/7/12,13918.96,0.88,0.02,1.08,0.95,1.84,0.30,
2023/7/13,14138.57,1.08,0.84,1.23,1.66,2.76,0.52,
2023/7/14,14113.70,1.07,-0.37,1.31,1.76,2.85,0.40,
2023/7/17,14244.95,0.96,0.67,1.42,1.67,2.65,0.49,
2023/7/18,14353.64,1.56,0.99,1.55,1.40,2.98,0.54,
2023/7/19,14358.02,0.90,-0.28,1.62,1.95,2.87,0.45,5.64100
2023/5/8,12256.92,0.71,0.21,0.44,0.53,1.25,0.24,
2023/5/9,12179.55,0.35,-0.13,0.44,0.41,0.75,0.09,
2023/5/10,12306.44,1.29,0.16,0.52,0.21,1.50,0.25,
2023/5/11,12328.51,0.75,0.06,0.59,0.59,1.34,0.24,
2023/5/12,12284.74,1.27,-0.53,0.60,0.07,1.34,0.14,
2023/5/15,12365.21,0.92,0.52,0.66,0.29,1.21,0.22,
2023/5/16,12343.05,0.64,0.13,0.67,0.63,1.28,0.16,
2023/5/17,12500.57,1.45,0.90,0.78,0.37,1.83,0.34,
2023/5/18,12688.84,1.49,1.40,0.96,1.26,2.77,0.54,
2023/5/19,12657.90,0.85,-0.41,1.07,1.75,2.62,0.41,
2023/5/22,12720.78,0.80,0.44,1.17,1.58,2.39,0.42,
2023/5/23,12560.25,1.24,-0.73,1.14,0.63,1.88,0.14,
2023/5/24,12484.16,0.92,0.02,1.04,-0.49,0.42,0.01,
2023/5/25,12698.09,1.05,-0.07,1.09,0.73,1.78,0.30,
2023/5/26,12975.69,2.14,1.88,1.28,1.10,3.26,0.62,
2023/5/30,13017.43,1.44,-0.70,1.43,2.42,3.89,0.56,
2023/5/31,12935.29,1.08,-0.26,1.47,1.43,2.53,0.36,
2023/6/1,13100.98,1.85,1.21,1.58,1.02,2.89,0.52,
2023/6/2,13240.77,0.99,0.38,1.73,2.14,3.15,0.61,
2023/6/5,13229.43,1.03,-0.07,1.80,2.17,3.23,0.49,
2023/6/6,13276.42,1.07,0.58,1.86,1.47,2.56,0.47,
2023/6/7,13104.90,2.08,-1.43,1.78,0.72,2.81,0.17,
2023/6/8,13238.52,1.13,0.96,1.77,0.50,1.63,0.31,
2023/6/9,13259.14,1.18,-0.40,1.74,1.19,2.39,0.28,
2023/6/12,13461.92,1.23,1.02,1.82,1.25,2.49,0.49,
2023/6/13,13573.32,0.90,0.05,1.91,1.99,2.90,0.55,
2023/6/14,13626.48,1.53,0.41,1.99,1.32,2.87,0.52,
2023/6/15,13782.82,1.97,1.55,2.10,1.48,3.47,0.63,
2023/6/16,13689.57,1.34,-1.22,2.11,1.96,3.32,0.41,
2023/6/20,13667.29,1.10,0.18,2.06,0.76,1.87,0.31,11.5100
