"Date","Open","High","Low","Close","high - low %","open-close %","EMA diff %","low - fast ema %","high-fast ema %","close below last day","EMA appreciation %"
"2/1/2019","7256.37","7299.94","7243.41","7263.87","0.78%","0.10%","1.21%","1.68%","2.47%","1","0.39%"
"2/4/2019","7266.28","7348.23","7261.07","7347.54","1.20%","1.12%","1.35%","1.40%","2.61%","","0.52%"
"2/5/2019","7356.34","7408.68","7355.36","7402.08","0.72%","0.62%","1.49%","2.14%","2.88%","","0.56%"
"2/6/2019","7400.44","7410.77","7346.72","7375.28","0.87%","-0.34%","1.55%","1.61%","2.50%","1","0.40%"
"2/7/2019","7316.5","7336.74","7235.05","7288.35","1.41%","-0.38%","1.48%","-0.07%","1.34%","1","0.13%"
"2/8/2019","7232.3","7299.44","7225.14","7298.2","1.03%","0.91%","1.41%","-0.34%","0.69%","","0.13%"
"2/11/2019","7327.37","7343.56","7290.03","7307.9","0.73%","-0.27%","1.35%","0.42%","1.16%","","0.13%"
"2/12/2019","7358.85","7419.43","7349.8","7414.62","0.95%","0.76%","1.40%","0.89%","1.84%","","0.36%"
"2/13/2019","7437.46","7461.66","7413.84","7420.38","0.65%","-0.23%","1.42%","1.45%","2.11%","","0.31%"
"2/14/2019","7390.25","7454.42","7375.71","7426.95","1.07%","0.50%","1.42%","0.66%","1.73%","","0.27%"
"2/15/2019","7468.57","7477.28","7440.26","7472.41","0.50%","0.05%","1.45%","1.20%","1.71%","","0.33%"
"2/19/2019","7450.75","7507.79","7450.27","7486.77","0.77%","0.48%","1.47%","1.03%","1.81%","","0.31%"
"2/20/2019","7490.31","7513.7","7455.25","7489.07","0.78%","-0.02%","1.46%","0.84%","1.63%","","0.26%"
"2/21/2019","7475.41","7485.75","7430.89","7459.71","0.74%","-0.21%","1.40%","0.36%","1.10%","1","0.15%"
"2/22/2019","7481.63","7527.54","7479.01","7527.54","0.65%","0.61%","1.41%","0.73%","1.38%","","0.28%"
"2/25/2019","7585.3","7602.69","7551.61","7554.46","0.68%","-0.41%","1.42%","1.41%","2.10%","","0.29%"
"2/26/2019","7535.29","7573.22","7524.31","7549.3","0.65%","0.19%","1.40%","0.81%","1.47%","1","0.23%"
"2/27/2019","7526.42","7562.29","7485.39","7554.51","1.03%","0.37%","1.38%","0.09%","1.12%","","0.20%"
"2/28/2019","7533.31","7561.9","7516.48","7532.53","0.60%","-0.01%","1.31%","0.38%","0.99%","1","0.12%"
"3/1/2019","7587.45","7603.04","7540.75","7595.35","0.83%","0.10%","1.31%","0.47%","1.30%","","0.24%"
"3/4/2019","7636.62","7643.66","7501.56","7577.57","1.89%","-0.77%","1.27%","-0.21%","1.68%","1","0.16%"
"3/5/2019","7582.29","7598.66","7543.54","7576.36","0.73%","-0.08%","1.22%","0.21%","0.95%","1","0.13%"
"3/6/2019","7575.38","7579.02","7499.87","7505.92","1.06%","-0.92%","1.09%","-0.32%","0.73%","1","-0.05%"
"3/7/2019","7483.79","7489.08","7397.19","7421.46","1.24%","-0.83%","0.89%","-1.46%","-0.24%","1","-0.23%"
"3/8/2019","7334.35","7411.52","7332.92","7408.14","1.07%","1.01%","0.71%","-2.10%","-1.05%","1","-0.22%"
"3/11/2019","7442.56","7558.23","7442.4","7558.06","1.56%","1.55%","0.72%","-0.79%","0.75%","","0.15%"
"3/12/2019","7571.85","7611.13","7560.46","7591.03","0.67%","0.25%","0.75%","0.58%","1.26%","","0.20%"
"3/13/2019","7621.38","7677.07","7619.46","7643.41","0.76%","0.29%","0.82%","1.08%","1.85%","","0.28%"
"3/14/2019","7644.79","7653.1","7627.02","7630.91","0.34%","-0.18%","0.84%","0.98%","1.32%","1","0.21%"
"3/15/2019","7658.41","7714.96","7652.04","7688.53","0.82%","0.39%","0.91%","1.01%","1.84%","","0.30%"
"3/18/2019","7696.38","7737.67","7677.74","7714.48","0.78%","0.24%","0.97%","1.04%","1.83%","","0.31%"
"3/19/2019","7747.4","7767.89","7699.15","7723.95","0.89%","-0.30%","1.02%","1.04%","1.94%","","0.27%"
"3/20/2019","7721.95","7779.24","7674.04","7728.97","1.37%","0.09%","1.04%","0.47%","1.85%","","0.24%"
"3/21/2019","7705.43","7850.11","7705.43","7838.96","1.88%","1.73%","1.15%","0.44%","2.33%","","0.44%"
"3/22/2019","7800.25","7817.83","7642.57","7642.67","2.29%","-2.02%","1.03%","-0.31%","1.97%","1","-0.06%"
"3/25/2019","7618.98","7662.38","7579.29","7637.54","1.10%","0.24%","0.91%","-1.08%","0.01%","1","-0.06%"
"3/26/2019","7700","7738.17","7649.21","7691.52","1.16%","-0.11%","0.86%","-0.23%","0.93%","","0.06%"
"3/27/2019","7702.05","7712.84","7582.09","7643.38","1.72%","-0.76%","0.76%","-1.05%","0.65%","1","-0.05%"
"3/28/2019","7660.07","7689.16","7619.82","7669.17","0.91%","0.12%","0.70%","-0.58%","0.33%","","0.01%"
"3/29/2019","7726.71","7733.62","7688.51","7729.32","0.59%","0.03%","0.71%","0.18%","0.77%","","0.14%"
"4/1/2019","7800.24","7831.45","7777.09","7828.91","0.70%","0.37%","0.80%","0.99%","1.70%","","0.33%"
"4/2/2019","7824.61","7854.92","7811.28","7848.69","0.56%","0.31%","0.88%","1.11%","1.68%","","0.32%"
"4/3/2019","7891.18","7938.26","7870.9","7895.55","0.86%","0.06%","0.98%","1.51%","2.38%","","0.37%"
"4/4/2019","7894.26","7917.65","7844.96","7891.78","0.93%","-0.03%","1.03%","0.88%","1.81%","1","0.30%"
"4/5/2019","7914.51","7940.45","7909.14","7938.69","0.40%","0.31%","1.10%","1.35%","1.75%","","0.35%"
"4/8/2019","7924.89","7955.9","7891.85","7953.88","0.81%","0.37%","1.16%","0.81%","1.63%","","0.32%"
"4/9/2019","7924.77","7945.55","7897.61","7909.28","0.61%","-0.20%","1.14%","0.71%","1.32%","1","0.17%"
"4/10/2019","7922.73","7965.33","7916.9","7964.24","0.61%","0.52%","1.16%","0.69%","1.31%","","0.26%"
"4/11/2019","7975.2","7975.2","7933.41","7947.36","0.53%","-0.35%","1.14%","0.72%","1.25%","1","0.18%"
"4/12/2019","7984.15","7992.09","7952.61","7984.16","0.50%","0.00%","1.15%","0.74%","1.24%","","0.23%"
"4/15/2019","7987.16","7993.33","7933.57","7976.01","0.75%","-0.14%","1.13%","0.32%","1.08%","1","0.17%"
"4/16/2019","8000.57","8017.56","7978.81","8000.23","0.49%","0.00%","1.12%","0.70%","1.19%","","0.19%"
