"Date","Open","High","Low","Close","high - low %","open-close %","EMA diff %","low - fast ema %","high-fast ema %","close below last day","EMA appreciation %"
"7/26/2017","6425.93","6432.38","6416.30","6422.75","0.25%","-0.05%","0.87%","0.98%","1.23%",false,"0.22%"
"7/27/2017","6459.76","6460.84","6318.62","6382.19","2.25%","-1.20%","0.83%","-0.63%","1.60%",true,"0.07%"
"7/28/2017","6350.27","6379.70","6337.22","6374.68","0.67%","0.38%","0.77%","-0.38%","0.29%",true,"0.04%"
"7/31/2017","6394.69","6396.59","6338.79","6348.12","0.91%","-0.73%","0.69%","-0.32%","0.59%",true,"-0.04%"
"8/1/2017","6372.16","6375.75","6345.75","6362.94","0.47%","-0.14%","0.64%","-0.22%","0.25%",false,"0.01%"
"8/2/2017","6393.10","6394.21","6313.43","6362.65","1.28%","-0.48%","0.58%","-0.74%","0.53%",true,"0.01%"
"8/3/2017","6366.24","6368.53","6331.14","6340.34","0.59%","-0.41%","0.51%","-0.41%","0.18%",true,"-0.05%"
"8/4/2017","6350.79","6361.49","6329.73","6351.56","0.50%","0.01%","0.46%","-0.41%","0.08%",false,"-0.01%"
"8/7/2017","6361.06","6386.03","6356.23","6383.77","0.47%","0.36%","0.45%","-0.07%","0.40%",false,"0.07%"
"8/8/2017","6373.33","6423.35","6355.88","6370.46","1.06%","-0.05%","0.42%","-0.10%","0.96%",true,"0.03%"
"8/9/2017","6322.92","6355.04","6309.44","6352.33","0.72%","0.47%","0.38%","-0.81%","-0.09%",true,"-0.03%"
"8/10/2017","6312.65","6318.28","6214.41","6216.87","1.67%","-1.52%","0.16%","-1.93%","-0.29%",true,"-0.38%"
"8/11/2017","6222.18","6266.89","6216.19","6256.56","0.82%","0.55%","0.05%","-1.69%","-0.89%",false,"-0.21%"
"8/14/2017","6306.11","6346.83","6305.55","6340.23","0.65%","0.54%","0.07%","-0.33%","0.33%",false,"0.04%"
"8/15/2017","6350.51","6350.74","6324.75","6333.01","0.41%","-0.28%","0.07%","-0.04%","0.37%",true,"0.02%"
"8/16/2017","6348.11","6374.56","6330.27","6345.11","0.70%","-0.05%","0.08%","0.00%","0.70%",false,"0.05%"
"8/17/2017","6322.72","6334.23","6221.91","6221.91","1.81%","-1.59%","-0.06%","-1.43%","0.35%",true,"-0.29%"
"8/18/2017","6222.46","6254.22","6193.38","6216.53","0.98%","-0.10%","-0.18%","-1.63%","-0.67%",true,"-0.25%"
"8/21/2017","6216.32","6226.93","6177.19","6213.13","0.81%","-0.05%","-0.27%","-1.67%","-0.88%",true,"-0.22%"
"8/22/2017","6241.21","6302.84","6241.21","6297.48","0.99%","0.90%","-0.22%","-0.70%","0.29%",false,"0.04%"
"8/23/2017","6263.47","6291.30","6263.29","6278.41","0.45%","0.24%","-0.21%","-0.33%","0.12%",true,"-0.02%"
"8/24/2017","6294.82","6302.85","6244.57","6271.33","0.93%","-0.37%","-0.21%","-0.59%","0.34%",true,"-0.03%"
"8/25/2017","6293.81","6308.72","6257.10","6265.64","0.82%","-0.45%","-0.21%","-0.35%","0.47%",true,"-0.04%"
"8/28/2017","6286.01","6292.26","6267.85","6283.02","0.39%","-0.05%","-0.19%","-0.19%","0.20%",false,"0.01%"
"8/29/2017","6228.90","6311.26","6228.73","6301.89","1.32%","1.17%","-0.14%","-0.87%","0.44%",false,"0.06%"
"8/30/2017","6308.68","6374.47","6303.57","6368.31","1.12%","0.95%","-0.02%","0.10%","1.22%",false,"0.23%"
"8/31/2017","6385.80","6435.27","6383.58","6428.66","0.81%","0.67%","0.14%","1.02%","1.83%",false,"0.35%"
"9/1/2017","6442.17","6449.65","6417.87","6435.33","0.50%","-0.11%","0.28%","1.25%","1.75%",false,"0.31%"
"9/5/2017","6414.82","6426.51","6334.59","6375.57","1.45%","-0.61%","0.30%","-0.16%","1.29%",true,"0.10%"
"9/6/2017","6394.35","6407.40","6356.20","6393.31","0.81%","-0.02%","0.33%","0.05%","0.86%",false,"0.13%"
"9/7/2017","6402.94","6413.07","6379.81","6397.87","0.52%","-0.08%","0.36%","0.30%","0.83%",false,"0.12%"
"9/8/2017","6389.65","6391.41","6354.96","6360.19","0.57%","-0.46%","0.33%","-0.09%","0.49%",true,"-0.00%"
"9/11/2017","6411.18","6439.11","6410.71","6432.26","0.44%","0.33%","0.39%","0.60%","1.05%",false,"0.19%"
"9/12/2017","6448.81","6455.03","6429.54","6454.28","0.40%","0.08%","0.46%","0.68%","1.08%",false,"0.21%"
"9/13/2017","6440.72","6460.42","6433.20","6460.19","0.42%","0.30%","0.51%","0.54%","0.97%",false,"0.19%"
"9/14/2017","6439.46","6455.32","6424.04","6429.08","0.49%","-0.16%","0.50%","0.32%","0.81%",true,"0.08%"
"9/15/2017","6426.16","6464.27","6419.65","6448.47","0.70%","0.35%","0.51%","0.14%","0.83%",false,"0.12%"
"9/18/2017","6460.10","6477.77","6438.41","6454.64","0.61%","-0.08%","0.52%","0.31%","0.93%",false,"0.11%"
"9/19/2017","6465.57","6467.79","6446.75","6461.32","0.33%","-0.07%","0.53%","0.33%","0.66%",false,"0.11%"
"9/20/2017","6459.74","6466.05","6414.23","6456.04","0.81%","-0.06%","0.52%","-0.25%","0.55%",true,"0.08%"
"9/21/2017","6448.57","6448.57","6405.30","6422.69","0.68%","-0.40%","0.47%","-0.37%","0.30%",true,"-0.02%"
"9/22/2017","6401.44","6429.54","6400.81","6426.92","0.45%","0.40%","0.42%","-0.44%","0.01%",false,"-0.01%"
