"Date","Open","High","Low","Close","high - low %","open-close %","EMA diff %","low - fast ema %","high-fast ema %","close below last day","EMA appreciation %"
"3/12/2018","7581.04","7609.10","7563.44","7588.32","0.60%","0.10%","1.03%","2.24%","2.86%","","0.52%"
"3/13/2018","7627.52","7637.27","7492.98","7511.01","1.93%","-1.53%","1.06%","1.03%","2.97%","1","0.25%"
"3/14/2018","7539.78","7544.89","7473.90","7496.81","0.95%","-0.57%","1.05%","0.59%","1.55%","1","0.18%"
"3/15/2018","7509.24","7525.44","7463.19","7481.74","0.83%","-0.37%","1.01%","0.33%","1.17%","1","0.12%"
"3/16/2018","7504.37","7514.21","7473.68","7481.99","0.54%","-0.30%","0.97%","0.37%","0.92%","","0.10%"
"3/19/2018","7419.20","7421.23","7285.27","7344.24","1.87%","-1.01%","0.78%","-1.93%","-0.10%","1","-0.23%"
"3/20/2018","7353.25","7380.74","7331.24","7364.30","0.68%","0.15%","0.64%","-1.17%","-0.50%","","-0.15%"
"3/21/2018","7347.50","7415.66","7325.35","7345.29","1.23%","-0.03%","0.51%","-1.09%","0.13%","1","-0.16%"
"3/22/2018","7257.55","7303.19","7164.38","7166.68","1.94%","-1.25%","0.21%","-2.74%","-0.85%","1","-0.54%"
"3/23/2018","7170.68","7194.31","6992.67","6992.67","2.88%","-2.48%","-0.22%","-4.26%","-1.50%","1","-0.85%"
"3/26/2018","7125.20","7225.83","7022.34","7220.54","2.90%","1.34%","-0.29%","-3.67%","-0.88%","","-0.19%"
"3/27/2018","7255.47","7255.54","6963.68","7008.81","4.19%","-3.40%","-0.57%","-3.86%","0.17%","1","-0.64%"
"3/28/2018","6978.30","7036.09","6901.07","6949.23","1.96%","-0.42%","-0.85%","-4.07%","-2.20%","1","-0.68%"
"3/29/2018","6984.66","7120.46","6935.78","7063.45","2.66%","1.13%","-0.93%","-3.30%","-0.72%","","-0.30%"
"4/2/2018","7016.17","7044.71","6805.96","6870.12","3.51%","-2.08%","-1.19%","-4.44%","-1.09%","1","-0.70%"
"4/3/2018","6924.35","6963.71","6835.23","6941.28","1.88%","0.24%","-1.29%","-3.62%","-1.81%","","-0.42%"
"4/4/2018","6811.77","7059.29","6811.77","7042.11","3.63%","3.38%","-1.24%","-3.84%","-0.34%","","-0.12%"
"4/5/2018","7099.25","7112.38","7036.62","7076.55","1.08%","-0.32%","-1.14%","-0.65%","0.42%","","-0.02%"
"4/6/2018","6999.57","7066.64","6877.76","6915.11","2.75%","-1.21%","-1.23%","-2.51%","0.17%","1","-0.39%"
"4/9/2018","6971.45","7074.95","6944.96","6950.34","1.87%","-0.30%","-1.25%","-1.31%","0.54%","","-0.25%"
"4/10/2018","7060.99","7117.98","7014.88","7094.30","1.47%","0.47%","-1.07%","-0.45%","1.01%","","0.14%"
"4/11/2018","7055.00","7128.54","7055.00","7069.03","1.04%","0.20%","-0.95%","0.07%","1.11%","1","0.05%"
"4/12/2018","7112.02","7166.00","7105.09","7140.25","0.86%","0.40%","-0.77%","0.56%","1.42%","","0.21%"
"4/13/2018","7179.62","7183.62","7078.14","7106.65","1.49%","-1.02%","-0.65%","0.08%","1.57%","1","0.10%"
"4/16/2018","7153.87","7178.51","7115.85","7156.28","0.88%","0.03%","-0.50%","0.42%","1.30%","","0.20%"
"4/17/2018","7215.12","7298.59","7206.55","7281.10","1.28%","0.91%","-0.24%","1.23%","2.53%","","0.46%"
"4/18/2018","7292.38","7319.58","7259.90","7295.24","0.82%","0.04%","-0.02%","1.56%","2.40%","","0.41%"
"4/19/2018","7258.61","7277.45","7215.17","7238.06","0.86%","-0.28%","0.08%","0.73%","1.60%","1","0.21%"
"4/20/2018","7220.64","7222.99","7123.49","7146.13","1.40%","-1.03%","0.06%","-0.51%","0.88%","1","-0.04%"
"4/23/2018","7173.99","7195.72","7094.43","7128.60","1.43%","-0.63%","0.02%","-0.85%","0.57%","1","-0.07%"
"4/24/2018","7160.77","7171.67","6961.52","7007.35","3.02%","-2.14%","-0.15%","-2.37%","0.58%","1","-0.34%"
"4/25/2018","7009.99","7030.74","6926.97","7003.74","1.50%","-0.09%","-0.28%","-2.56%","-1.10%","1","-0.30%"
"4/26/2018","7080.49","7143.94","7055.66","7118.68","1.25%","0.54%","-0.24%","-0.78%","0.47%","","0.02%"
"4/27/2018","7195.52","7197.15","7083.95","7119.80","1.60%","-1.05%","-0.21%","-0.40%","1.19%","","0.02%"
"4/30/2018","7133.95","7169.80","7065.41","7066.27","1.48%","-0.95%","-0.25%","-0.55%","0.92%","1","-0.11%"
"5/1/2018","7053.65","7133.27","7036.18","7130.70","1.38%","1.09%","-0.20%","-1.02%","0.34%","","0.06%"
"5/2/2018","7138.45","7169.46","7094.72","7100.90","1.05%","-0.53%","-0.19%","-0.18%","0.87%","1","-0.02%"
"5/3/2018","7065.03","7112.59","6991.14","7088.15","1.74%","0.33%","-0.19%","-1.59%","0.12%","1","-0.05%"
